date,holiday
2026-01-01,New Year's Day
2026-01-02,Founding of ROC - next day / Floating Holiday
2026-02-14,Lunar New Year (start)
2026-02-20,Lunar New Year (end)
2026-02-27,Peace Memorial Day (observed)
2026-02-28,Peace Memorial Day
2026-04-03,Women & Children's Day / Tomb Sweeping (start)
2026-04-06,Women & Children's Day / Tomb Sweeping (end)
2026-05-01,Labor Day
2026-06-19,Dragon Boat Festival
2026-09-25,Mid-Autumn/Confucius Day (start)
2026-09-28,Mid-Autumn/Confucius Day (end)
2026-10-09,National Day (observed)
2026-10-10,National Day
2026-10-26,Retrocession Day (observed)
2026-12-25,Constitution Day
2026-07-20,Floating Holiday
2026-08-14,Floating Holiday
2026-12-24,Floating Holiday
